
# Curve 0 of 1, 54 points
# Curve title: "input using (bin(($2/$3),binwidth)):(1.0)"
# x y type
-5.785  4  i
-5.78  27  i
-5.775  12  i
-5.77  12  i
-5.765  8  i
-5.76  18  i
-5.755  14  i
-5.75  7  i
-5.745  15  i
-5.74  7  i
-5.735  9  i
-5.73  9  i
-5.725  1  i
-5.72  3  i
-5.715  6  i
-5.695  3  i
-5.68  2  i
-5.675  8  i
-5.67  4  i
-5.665  11  i
-5.66  16  i
-5.655  19  i
-5.65  10  i
-5.645  9  i
-5.64  5  i
-5.635  2  i
-5.625  1  i
-5.595  1  i
-5.575  3  i
-5.565  1  i
-5.56  1  i
-5.535  2  i
-5.52  1  i
-5.505  2  i
-5.495  1  i
-5.245  1  i
-5.24  3  i
-5.225  2  i
-5.215  4  i
-5.21  3  i
-5.205  1  i
-5.2  1  i
-5.195  2  i
-5.19  6  i
-5.185  1  i
-5.18  3  i
-5.175  2  i
-5.17  3  i
-5.165  1  i
-5.16  2  i
-5.155  3  i
-5.15  1  i
-5.14  1  i
-5.77  1  u

